stable_id,chrom,start,end,strand,name,accession
ENSG00000278267,1,17369,17436,-1,MIR6859-1,102466751
ENSG00000243485,1,29554,31109,1,LOC105376912,105376912
ENSG00000274890,1,30366,30503,1,MIR1302-2,100302278
ENSG00000240361,1,62948,63887,1,OR4G2P,26680
ENSG00000186092,1,69091,70008,1,OR4F5,79501
ENSG00000279928,1,182393,184158,1,LOC102725121,102725121
ENSG00000279457,1,184923,200322,-1,LOC102723897,102723897
ENSG00000273874,1,187891,187958,-1,MIR6859-2,102465909
ENSG00000278566,1,450740,451678,-1,OR4F29,729759
ENSG00000230021,1,585989,827796,-1,LOC101928626,101928626
ENSG00000278791,1,632325,632413,-1,MIR6723,102465432
ENSG00000273547,1,685716,686654,-1,OR4F16,81399
ENSG00000177757,1,817371,819837,1,FAM87B,400728
ENSG00000228794,1,825138,859446,1,LINC01128,643837
ENSG00000225880,1,826206,827522,-1,LINC00115,79854
ENSG00000230368,1,868071,876903,-1,FAM41C,284593
ENSG00000223764,1,916865,921016,-1,LOC100130417,100130417
ENSG00000187634,1,924880,944581,1,SAMD11,148398
ENSG00000188976,1,944204,959309,-1,NOC2L,26155
ENSG00000187961,1,960587,965715,1,KLHL17,339451
ENSG00000187583,1,966497,975865,1,PLEKHN1,84069
ENSG00000187642,1,975204,982093,-1,PERM1,84808
ENSG00000188290,1,998962,1000172,-1,HES4,57801
ENSG00000187608,1,1001138,1014541,1,ISG15,9636
ENSG00000188157,1,1020123,1056118,1,AGRN,375790
ENSG00000237330,1,1070966,1074307,-1,RNF223,401934
ENSG00000131591,1,1081818,1116361,-1,C1orf159,54991
ENSG00000223823,1,1137017,1144056,1,LINC01342,254099
ENSG00000198976,1,1169005,1169087,1,MIR429,554210
ENSG00000205231,1,1173056,1179555,-1,TTLL10-AS1,100506376
ENSG00000162571,1,1173884,1197935,1,TTLL10,254173
ENSG00000186891,1,1203508,1206691,-1,TNFRSF18,8784
ENSG00000186827,1,1211326,1214138,-1,TNFRSF4,7293
ENSG00000078808,1,1216908,1232031,-1,SDF4,51150
ENSG00000176022,1,1232265,1235041,1,B3GALT6,126792
ENSG00000184163,1,1242446,1246722,-1,FAM132A,388581
ENSG00000160087,1,1253909,1273885,-1,UBE2J2,118424
ENSG00000162572,1,1280436,1292029,1,SCNN1D,6339
ENSG00000131584,1,1292376,1309609,-1,ACAP3,116983
ENSG00000278073,1,1296110,1296170,-1,MIR6726,102465434
ENSG00000169972,1,1308567,1311677,1,PUSL1,126789
ENSG00000127054,1,1311585,1324691,-1,CPSF3L,54973
ENSG00000274153,1,1312502,1312566,-1,MIR6727,102465435
ENSG00000224051,1,1324756,1328897,1,CPTP,80772
ENSG00000169962,1,1331314,1335306,1,TAS1R3,83756
ENSG00000107404,1,1335276,1349350,-1,DVL1,1855
ENSG00000275884,1,1339650,1339708,-1,MIR6808,102466740
ENSG00000162576,1,1352689,1361777,-1,MXRA8,54587
ENSG00000175756,1,1373730,1375495,-1,AURKAIP1,54998
ENSG00000221978,1,1385711,1399328,-1,CCNL2,81669
ENSG00000224870,1,1399522,1402046,1,LOC148413,148413
ENSG00000242485,1,1401908,1407313,-1,MRPL20,55052
ENSG00000235098,1,1418420,1421769,-1,ANKRD65,441869
ENSG00000205116,1,1426128,1427787,1,TMEM88B,643965
ENSG00000179403,1,1434861,1442882,1,VWA1,64856
ENSG00000215915,1,1449689,1470158,1,ATAD3C,219293
ENSG00000160072,1,1471769,1497848,1,ATAD3B,83858
ENSG00000197785,1,1512151,1534687,1,ATAD3A,55210
ENSG00000205090,1,1535174,1540453,-1,TMEM240,339453
ENSG00000160075,1,1541673,1574869,-1,SSU72,29101
ENSG00000228594,1,1598012,1600096,-1,C1orf233,643988
ENSG00000197530,1,1615415,1630610,1,MIB2,142678
ENSG00000189409,1,1632095,1701810,1,MMP23B,8510
ENSG00000248333,1,1635227,1659012,-1,CDK11B,984
ENSG00000189339,1,1659529,1692728,-1,SLC35E2B,728661
ENSG00000008128,1,1702730,1724324,-1,CDK11A,728642
ENSG00000215790,1,1724838,1745992,-1,SLC35E2,9906
ENSG00000008130,1,1751232,1780457,-1,NADK,65220
ENSG00000078369,1,1785285,1891117,-1,GNB1,2782
ENSG00000169885,1,1914827,1917296,1,CALML6,163688
ENSG00000178821,1,1917590,1919273,-1,TMEM52,339456
ENSG00000142609,1,1921951,2003837,-1,CFAP74,85452
ENSG00000187730,1,2019324,2030751,1,GABRD,2563
ENSG00000067606,1,2050470,2185395,1,PRKCZ,5590
ENSG00000162585,1,2184461,2212720,-1,FAAP20,199990
ENSG00000157933,1,2228695,2310119,1,SKI,6497
ENSG00000116151,1,2321253,2391707,-1,MORN1,79906
ENSG00000269896,1,2350414,2352820,-1,LOC100129534,100129534
ENSG00000157916,1,2391775,2405444,1,RER1,11079
ENSG00000157911,1,2403964,2413797,-1,PEX10,5192
ENSG00000149527,1,2425980,2505530,1,PLCH2,9651
ENSG00000157881,1,2508533,2526628,-1,PANK4,55229
ENSG00000197921,1,2528745,2530245,-1,HES5,388585
ENSG00000157873,1,2555639,2565382,1,TNFRSF14,8764
ENSG00000157870,1,2586491,2591469,1,FAM213B,127281
ENSG00000142606,1,2590639,2632990,-1,MMEL1,79258
ENSG00000215912,1,2635976,2789755,-1,TTC34,100287898
ENSG00000169717,1,3021483,3022903,1,ACTRT2,140625
ENSG00000177133,1,3059615,3068437,-1,LINC00982,440556
ENSG00000142611,1,3069168,3438621,1,PRDM16,63976
ENSG00000130762,1,3454426,3481113,1,ARHGEF16,27237
ENSG00000162591,1,3489920,3611495,-1,MEGF6,1953
ENSG00000207776,1,3560695,3560790,-1,MIR551A,693135
ENSG00000158109,1,3625002,3630127,1,TPRG1L,127262
ENSG00000116213,1,3630767,3652761,-1,WRAP73,49856
ENSG00000078900,1,3652520,3736201,1,TP73,7161
ENSG00000227372,1,3735601,3747336,-1,TP73-AS1,57212
ENSG00000162592,1,3752398,3771645,1,CCDC27,148870
ENSG00000235169,1,3772788,3775982,1,SMIM1,388588
ENSG00000130764,1,3778558,3796504,-1,LRRC47,57470
ENSG00000116198,1,3812081,3857214,-1,CEP104,9731
ENSG00000169598,1,3857267,3885429,1,DFFB,1677
ENSG00000198912,1,3889125,3900293,-1,C1orf174,339448
ENSG00000236423,1,3900372,3917225,1,LINC01134,100133612
ENSG00000226374,1,3944547,3948980,-1,LOC105376672,105376672
ENSG00000235054,1,4412027,4424689,1,LOC284661,284661
ENSG00000196581,1,4654732,4792534,1,AJAP1,55966
ENSG00000264341,1,5564071,5564143,1,MIR4417,100616489
ENSG00000264101,1,5862672,5862741,-1,MIR4689,100616421
ENSG00000131697,1,5862811,5992473,-1,NPHP4,261734
ENSG00000069424,1,5991466,6101193,1,KCNAB2,8514
ENSG00000116254,1,6101793,6180123,-1,CHD5,26038
ENSG00000116251,1,6181269,6209389,-1,RPL22,6146
ENSG00000226944,1,6204840,6205780,-1,LOC102724450,102724450
ENSG00000158286,1,6205475,6221299,1,RNF207,388591
ENSG00000116237,1,6221193,6235972,-1,ICMT,23463
ENSG00000173673,1,6244192,6245578,1,HES3,390992
ENSG00000158292,1,6247346,6260975,-1,GPR153,387509
ENSG00000097021,1,6264269,6394391,-1,ACOT7,11332
ENSG00000069812,1,6412418,6424670,-1,HES2,54626
ENSG00000187017,1,6424788,6461370,1,ESPN,83715
ENSG00000265392,1,6429834,6429896,-1,MIR4252,100422975
ENSG00000215788,1,6461151,6466195,-1,TNFRSF25,8718
ENSG00000171680,1,6466092,6520061,-1,PLEKHG5,57449
ENSG00000162408,1,6521347,6554535,-1,NOL9,79707
ENSG00000173662,1,6555181,6579757,1,TAS1R1,80835
ENSG00000204859,1,6580001,6589280,1,ZBTB48,3104
ENSG00000162413,1,6590724,6614607,-1,KLHL21,9903
ENSG00000116273,1,6613685,6624033,1,PHF13,148479
ENSG00000041988,1,6624866,6635586,1,THAP3,90326
ENSG00000007923,1,6634168,6701924,-1,DNAJC11,55735
ENSG00000171735,1,6785324,7769706,1,CAMTA1,23261
ENSG00000049245,1,7771269,7781432,1,VAMP3,9341
ENSG00000049246,1,7784320,7845177,1,PER3,8863
ENSG00000049247,1,7843083,7853512,-1,UTS2,10911
ENSG00000049249,1,7915894,7943165,-1,TNFRSF9,3604
ENSG00000116288,1,7954291,7985505,1,PARK7,11315
ENSG00000116285,1,8004404,8026308,-1,ERRFI1,54206
ENSG00000227634,1,8202429,8215210,1,LOC102724539,102724539
ENSG00000162426,1,8317826,8344167,1,SLC45A1,50651
ENSG00000142599,1,8352397,8817643,-1,RERE,473
ENSG00000074800,1,8861002,8879249,-1,ENO1,2023
ENSG00000274258,1,8866502,8866590,-1,MIR6728,102465436
ENSG00000230679,1,8878835,8879894,1,ENO1-AS1,100505975
ENSG00000131686,1,8945867,8975092,1,CA6,765
ENSG00000197241,1,9003300,9026345,-1,SLC2A7,155184
ENSG00000142583,1,9035107,9088478,-1,SLC2A5,6518
ENSG00000180758,1,9100305,9129170,-1,GPR157,80045
ENSG00000228526,1,9148011,9196983,-1,MIR34AHG,106614088
ENSG00000207865,1,9151668,9151777,-1,MIR34A,407040
ENSG00000234546,1,9182004,9196284,1,LOC102724571,102724571
ENSG00000049239,1,9234775,9271337,1,H6PD,9563
ENSG00000171621,1,9292880,9369532,1,SPSB1,80176
ENSG00000171612,1,9539482,9585179,1,SLC25A33,84275
ENSG00000188807,1,9588922,9614873,1,TMEM201,199953
ENSG00000171608,1,9651732,9729114,1,PIK3CD,5293
ENSG00000179840,1,9652610,9654586,-1,PIK3CD-AS1,644997
ENSG00000231789,1,9672426,9687555,-1,PIK3CD-AS2,101929074
ENSG00000171603,1,9729026,9824526,-1,CLSTN1,22883
ENSG00000178585,1,9848276,9910336,-1,CTNNBIP1,56998
ENSG00000162441,1,9922113,9943407,-1,LZIC,84328
ENSG00000173614,1,9943428,9985501,1,NMNAT1,64802
ENSG00000265521,1,9967381,9967458,1,MIR5697,100847055
ENSG00000162444,1,9997206,10016020,1,RBP7,116362
ENSG00000130939,1,10032832,10181239,1,UBE4B,10277
ENSG00000054523,1,10210805,10381603,1,KIF1B,23095
ENSG00000264881,1,10227718,10227803,1,MIR1273D,100422970
ENSG00000142657,1,10398592,10420144,1,PGD,5226
ENSG00000251503,1,10430102,10452153,1,APITD1-CORT,100526739
ENSG00000175279,1,10430443,10442809,1,APITD1,378708
ENSG00000241563,1,10449719,10451902,1,CORT,1325
ENSG00000160049,1,10456522,10472526,-1,DFFA,1676
ENSG00000142655,1,10472288,10630758,1,PEX14,5195
ENSG00000130940,1,10636604,10796650,-1,CASZ1,54897
ENSG00000175262,1,10946471,10982037,-1,C1orf127,148345
ENSG00000120948,1,11012344,11026420,1,TARDBP,23435
ENSG00000009724,1,11026523,11047233,-1,MASP2,10747
ENSG00000116649,1,11054584,11060024,-1,SRM,6723
ENSG00000171824,1,11066618,11099881,-1,EXOSC10,5394
ENSG00000230337,1,11099675,11102100,1,LOC105376736,105376736
ENSG00000198793,1,11106535,11262507,-1,MTOR,2475
ENSG00000225602,1,11143898,11149537,1,MTOR-AS1,100873935
ENSG00000171819,1,11189341,11195981,1,ANGPTL7,10218
ENSG00000120942,1,11273206,11296049,1,UBIAD1,29914
ENSG00000204624,1,11479166,11537584,1,PTCHD2,57540
ENSG00000235643,1,11609531,11613355,1,LOC101929181,101929181
ENSG00000116661,1,11648367,11655785,-1,FBXO2,26232
ENSG00000132879,1,11654375,11663327,1,FBXO44,93611
ENSG00000116663,1,11664124,11674354,1,FBXO6,26270
ENSG00000116670,1,11674480,11691650,-1,MAD2L2,10459
ENSG00000162490,1,11691729,11725857,1,DRAXIN,374946
ENSG00000177674,1,11736084,11754802,1,AGTRAP,57085
ENSG00000177553,1,11777077,11779619,-1,LOC102724659,102724659
ENSG00000177000,1,11785723,11806920,-1,MTHFR,4524
ENSG00000011021,1,11806096,11843144,1,CLCN6,1185
